Anno,Mese,Giorno,Anno,Mese,Giorno,Titolo,Civiltà,Descrizione,Colore,Gruppo,Fonte,Etichette
-3500,,,-3000,,,,Sumeri,"Tavoletta di argilla, scrittura pittografica, 1500 disegni fatti con teste di bue, parti di corpo umano e frutta e verdura usati per transazioni commerciali. ",,Scrittura,,
-3150,,,,,,,Egitto,"si passa a rappresentazioni grafiche, scrittura basata sul fonetismo composto da 760 segni, 220 segni usati comunemente. ",,,,
-2400,,,,,,,Siria,cilindri di argilla con incisioni alfabetiche,,,,
-2000,,,,,,,Creta,"scrittura geroglifica per scopi contabili, usavano pietra e tavolette di argilla cruda. Lineare A inventano 85 segni e idiogrammi.",,,,
-1450,,,-1200,,,,Creta,diventa lineare B e vengono aggiunti 90 segni + 100 ideogrammi,,,,
-1200,,,-1100,,,,Fenicia,"inizia l'alfabeto di origine semitica a carattere consonantico e diventa la base delle scritture ebraico-aramaiche, siriaco, indiano, palmireno e arabo. ",,,,
-1300,,,,,,,"Ugarit, Siria",origine del primo alfabeto,,,,
-1400,,,,,,,Sinai,iscrizioni trovate in alfabeto + 35 segni pittografici geometrici ,,,,
-840,,,,,,,Moab,stele Moabita: descrizione di una battaglia contro gli israeliti,,,,
-1513,,,-1513,,,,,Mosè scrive Pentateuco nel deserto del Sinai ,,,,
-4026,,,,,,,Eden,"Adamo da origine al linguaggio: fu creato con un patrimonio di vocaboli e con la capacità di crearne altri. Senza un vocabolario, non sarebbe stato in grado di capire le istruzioni verbali date da Dio. La differenza con l'animale, che usa suoni per esprimere molti sentimenti, è che quest'ultimo non è in grado di esprimere concetti e idee. Il linguaggio umano è un mistero. I messaggi angelici furono scritti in ebraico, aramaico e greco.  ",,,,
-2269,,,,,,,Babele,"La confusione del linguaggio è stata benefica per la società perché ha ritardato il conseguimento di obiettivi nocivi e pericolosi. Geova confuse le lingue e quando i figli di Noè si dispersero, Egli cancellò la memoria di quella lingua comune e ne introdusse di nuove. Barriere geografiche, guerre, conquiste, interruzione delle comunicazioni, hanno contribuito a frammentare le principali lingue antiche. Non sembra che l'uomo sia partito da un linguaggio semplice, reso gradatamente più complesso, ma piuttosto il contrario. L'evidenza è quindi contraria ad un'origine evoluzionistica del linguaggio e delle lingue antiche.",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
-1512,,,,,,Linguaggio dono divino,,"Esodo 4:11,12 ""E Geova gli disse: “Chi ha dato la bocca all’uomo, e chi lo rende muto, sordo, vedente o cieco? Non sono io, Geova?  Pertanto va’: io sarò con te quando parlerai e ti insegnerò quello che dovrai dire”.",,,,
,,,,,,,,"Ma esula dalla nostra comprensione ciò che realmente accade nel linguaggio, come la scintilla della percezione illumina lo spirito del bambino, o dell’umanità in generale, diventando parola parlata. Il linguaggio umano è un mistero; è un dono divino, un miracolo”. Journal of Semitic Studies, Manchester, 1956",,,,
ca. 50 E.V.,,,,,,Lingue diverse richiedono schemi mentali assai diversi,,"1 Corinti 14:10,11 ""Nel mondo ci sono chissà quante lingue diverse, ma neppure una è priva di significato. Se dunque non capisco il senso di ciò che viene detto, sarò uno straniero per chi parla, e chi parla sarà uno straniero per me."" (A Dictionary of the Bible, a cura di J. Hastings, 1905, vol. IV, p. 791)",,,,
,,,,,,,,"“Le lingue, comunque, non differiscono solo come grammatica e radici, ma anche . . . nel modo in cui le idee sono inserite nel periodo. Popoli diversi non pensano allo stesso modo; e di conseguenza la forma del periodo nelle diverse lingue non è la stessa”.",,,,
-394,,,,,,,,,,,,
