Anno,Mese,Giorno,Anno,Mese,Giorno,Titolo,Civiltà,Descrizione,Colore,Gruppo,Fonte,Etichette
-1500,,,,,,Ciclo dell'acqua,,"Giobbe 36:27, 28 27  Egli attira in alto le gocce d’acqua;
il vapore che ha formato si condensa poi in pioggia; 28  le nubi la riversano,
la rovesciano sul genere umano. 
Ecclesisate 1:7 tutti i fiumi scorrono veros il mare, eppure il mare non è mai pieno. Al luogo da cui i fiumi nascono, là tornano per scorrere di nuovo.",,Scienza,,Teoria
-500,,,-428,,,Ciclo dell'acqua,Medo-persiani,"Anassagora sostiene che  l'acqua piovana si raccoglierebbe poi in depositi sotterranei, i quali alimenterebbero il flusso dei fium",,Scienza,,Teoria
-1500,,,,,,Terra sospesa sul nulla,Fenici,"Giobbe 26:7  Egli distende il cielo del nord nel vuoto
e tiene sospesa la terra sul nulla;",,Scienza,,Teoria
-624,,,-548,,,Terra sospesa sul nulla,Greci,"Talete -> Terra galleggia sull'acqua come un pezzo di legno. contributo alla matematica e per la sua convinzione che l'acqua fosse l'essenza di tutta la materia, analizzava la struttura del cosmo in maniera critica.",,Scienza,,Personaggio
-1513,,,,,,Igiene,Egizi,"Legge mosaica, chiunque avesse toccato un cadavere sarebbe diventato impuro per sette giorni e avrebbe dovuto sottoporsi a una procedura di purificazione che includeva lavare sé stesso e le proprie vesti con acqua. Durante questo periodo avrebbe dovuto evitare il contatto fisico con altri ",,Scienza,,Teoria
1858,,,,,,Igiene,Vienna,"Ignaz Semmelweis introdusse il lavaggio delle mani nella pratica medica, salvando così moltissime vite umane.",,Scienza,,Teoria
1473,,,1512,,,Igiene,,"Mosè, Deuteronomio 21:6: ""Quindi tutti gli anziani di quella città che saranno i più vicini al cadavere si dovranno lavare le mani..."" Levitico 15:11: ""Se chi ha una perdita tocca qualcuno senza essersi lavato le mani con acqua, questi deve lavare i propri indumenti e il proprio corpo in acqua ed essere impuro fino alla sera."" ",,,,
-240,,,,,,Eratostene,Libia,"Eratostene: il primo ad aver effettuato la misurazione della circonferenza terrestre mediante il primo strumento di calcolo di cui si abbia memoria, il mesolabio. Differì solo del 5% dal valore attualmente conosciuto",,Scienza,,Personaggio
1452,,,1519,,,Leonardo Da Vinci,,"Lo studio sulle stelle, quello sul volo e sui fossili. Una curiosità: fu attivissimo anche come botanico, formulando con un secolo d'anticipo la teoria che collega i cerchi di un tronco all'età della pianta in questione.",,Scienza,,Personaggio
1452,,,1519,,,,,"Ecclesiaste 1:5: ""il sole sorge e il sole tramonta, e poi si affretta a tornare al luogo da cui sorgerà di nuovo."" Tale dischiarazione descrive semplicemente il moto apparente del sole così come viene percepito dalla terra. Ancora oggi si usa dire che il sole ""sorge"" e ""tramonta"", pur sapendo che è la terra che ruota intorno al sole.",,,,
1473,,,1543,,,Niccolò Copernico,,"teorie del sole al centro di un sistema con i pianeti a girargli intorno. Nonostante la teorizzazione non fosse perfetta (lo scienziato sosteneva, ad esempio, la circolarità delle orbite planetarie e non la loro ellitticità) il suo lavoro è determinante per gettare le basi di una rivoluzione culturale senza precedenti. Oltre al campo astronamico, Copernico fu estremamente attivo anche in quello giuridico, ecclesiastico e medico.",,Scienza,,Personaggio
1564,,,1642,,,Galileo Galilei,,"Convinto della correttezza della cosmologia copernicana, era ben consapevole che essa fosse ritenuta in contraddizione con il testo biblico e la tradizione dei Padri della Chiesa, che sostenevano invece una concezione geocentrica dell'universo. Poiché la Chiesa considerava le Sacre Scritture ispirate dallo Spirito Santo, la teoria eliocentrica poteva essere accettata, fino a prova contraria, soltanto come semplice ipotesi o modello matematico, senza alcuna attinenza con la reale posizione dei corpi celesti. Il passo di Giosuè 10:13, in cui si dice che il ""sole rimase immobile"", non è una dichiarazione scientifica, ma riflette la percezione degli israeliti. La Bibbia, infatti, non è un libro di scienza, ma religioso, e usa un linguaggio che riflette la comprensione del mondo dell'epoca. Anche oggi, pur conoscendo il modello eliocentrico, usiamo espressioni come ""il sole sorge"" e ""tramonta"", che sono descrizioni basate sulla percezione.",,Scienza,,Personaggio
1642,,,1727,,,Gravità,,Isaac Newton: passa alla storia per aver fondato la meccanica classico ed elaborato la legge di gravitazione universale.,,Scienza,,Personaggio
1642,,,1727,,,Gravità,,Giobbe 26:7  ,,,,
1809,,,1882,,,Charles Darwin,,"Teoria dell'evoluzione della specie, campo del quale è senza dubbio la figura più autorevole di tutti i tempi. Molte delle sue conoscenze derivano dal celebre viaggio pluriennale al bordo del brigantino HMS Beagle, sul quale il naturalista compie un giro intorno al mondo che si rivelerà fondamentale per la genesi e lo sviluppo delle teorie che lo hanno consegnato alla storia. ",,Scienza,,Personaggio
1810,,,1883,,,Teoria dell'evoluzione della specie ,,"Secondo Alister McGrath, Darwin provava un “disgusto viscerale” per la dottrina dell’inferno di fuoco, e fu questo, non il fatto che credesse nell’evoluzione, a far nascere nella sua mente dei dubbi sull’esistenza di Dio. McGrath parla anche del “profondo dolore [di Darwin] per la morte della figlia”.",,,,
1822,,,1895,,,Louis Pasteur,,"Padre moderno della microbiologia: un contributo fondamentale alla medicina e alla prevenzione il suo, rappresentato al meglio dalle scoperte in relazione alla lotta a malattie pericolose come vaiolo, tubercolosi e setticemia.",,Scienza,,Personaggio
1823,,,1896,,,,,"Levitico 11:39,40",,,,
1879,,,1955,,,Albert Einstein,,Ha dato uno sviluppo unico alle basi preesistenti della teoria della relatività cambiando per sempre gli studi in questo campo con la formula E=mc2.,,Scienza,,Personaggio
1879,,,1955,,,,,2 Pietro 3:8,,,,
1901,,,1954,,,Enrico Fermi ,,"Passa alla storia per i suoi studi nell'ambito della meccanica quantistica e della fisica nucleare. Guida la costruzione del primo reattore nucleare a fissione e diventa uno dei direttori tecnici del progetto Manhattan, che produce la prima bomba atomica.",,Scienza,,Personaggio
-460,,,-377,,,Ippocrate,,Fu il grande instauratore della medicina scientifica.,,Scienza,,Personaggio
-470,,,-350,,,Democrito di Abdera,,Contribuì a gettare le basi della teoria atomica dell'universo e a postulare l'indistruttibilità della materia e la conservazione dell'energia.,,Scienza,,Personaggio
-435,,,-365,,,Euclide,,"Matematico del trattato di geometria (""misurare la terra"")",,Scienza,,Personaggio
-190,,,-120,,,Stelle,,"Ipparco di Nicea: Astronomo e padre della trigonometria, classificò le stelle per grandezza in base alla loro luminosità, sistema ancora in uso.",,Scienza,,Personaggio
-190,,,-120,,,Stelle,,"Salmo 147:4: ""Conta il numero delle stelle, le chiama tutte per nome."" Isaia 40:26: ""Alzate gli occhi al cielo e osservate: chi ha creato queste cose? Colui che le fa uscire come un esercito, conoscendone il numero esatto; le chiama tutte per nome. Grazie alla sua immensa energia e alla sua straordinaria potenza non ne manca nessuna."" ",,,,
1561,,,1626,,,Bacone Francesco,,"1269 con molti secoli di anticipo predisse lì'avvento di automobili, aeroplani e navi a motore.",,Scienza,,Personaggio
-515,,,-436,,,Sfericità della terra,,Parmenide: suggerì la sfericità della terra per ragioni filosofiche ,,Scienza,,Personaggio
-515,,,-436,,,Sfericità della terra,,"Isaia 50:22: ""C'è qualcuno che dimora sul circolo della terra...""",,Bibbia,,
-384,,,-322,,,Aristotele,,"Fornì prove empiriche, osservando l'ombra curva della terra durante le eclisse lunali e il cambiamento delle costellazioni visibili spostandosi verso sud.",,Scienza,,Personaggio
1844,,,1895,,,DNA,,Johann Friedrich Miescher 1869 ha scoperto la molecola del DNA,,Scienza,,Personaggio
460,,,,,,DNA,,"Salmo 139:16: ""I tuoi occhi mi videro perfino quando ero un embrione; nel tuo libro ne erano scritte tutte le parti - pure i giorni in cui si sarebbero formate - ancor prima che ne esistesse una sola.""",,,,
1347,,,,,,,,"Nel 1347 a Venezia, in seguito allo scoppiò della Peste Nera, viene introdotta la quarantena. La scelta dei 40 giorni aveva anche un significato simbolico e religioso, ispirato a eventi biblici come i 40 giorni del diluvio universale, 40 gg di digiuno di Gesù nel deserto.",,Scienza,,Evento
1571,,,1630,,,Keplero,,Contribuì a trasformare l'astronomia medievale in una scienza moderna. Detestava l'intolleranza religiosa ed era convinto che l'armonia esistente fra i pianeti dovesse regnare anche fra gli uomini.,,,,
1480,,,1521,,,Sfericità della Terra,,Ferdinando Magellano: realizzò il primo giro del mondo nel 1519 partendo dalla Spagna arrivando nel 1521 nelle Filippine per dimostrare definitivamente la sfericità della Terra. Inventò il mappamondo.,,,,
